Codigo;Fecha;CodMovim;Detalle;Letra;Id;Importe;Saldo;TipoMovim;TipoFPago;FechaVto;Operacion;CuentaContable;NroRenglonAsiento;EsPago;EsDocumento;Sucursal;DiasPromedio;PromedioReal;IDENTIFICADOR;NRO_INTERNO;ID_BIEN;TIPO_BIEN;TIPO_PLAN;TIPO_CUOTA;ANO_CUOTA;NRO_CUOTA;ESTADO_DEUDA;FECHA_ACTUALIZACION_DEUDA;NRO_OPERACION;Categoria;Nro_Dev;NRO_TALONARIO;FechaPago;NUMERO;NRO_RECIBO;NRO_EXPEDIENTE;CuentaContableAC;CuentaContableV;TablaLiq;NumeroPago;Dominio;ACTUALIZACION_COBRADO;NumeroPagoTmp;Observaciones;Ejercicio;FechaP;RecIntereses;MOF;LOF
0000059;2025-02-06 00:00:00;H;CATASTRO 25;NULL;NULL;6500,00;6500,00;FA;NULL;2025-03-17 00:00:00;NULL;    ;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;000067;ININ;NULL;NULL;2025;001;NULL;2025-02-06 00:00:00.000;NULL;NULL;38;NULL;NULL;NULL;NULL;NULL;;4001;CATASTRO25;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;001
0000065;2025-02-06 00:00:00;H;CATASTRO 25;NULL;NULL;6500,00;6500,00;FA;NULL;2025-03-17 00:00:00;NULL;    ;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;000070;ININ;NULL;NULL;2025;001;NULL;2025-02-06 00:00:00.000;NULL;NULL;38;NULL;NULL;NULL;NULL;NULL;;4001;CATASTRO25;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;000
0000066;2025-02-06 00:00:00;H;CATASTRO 25;NULL;NULL;6500,00;6500,00;FA;NULL;2025-03-17 00:00:00;NULL;    ;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;000071;ININ;NULL;NULL;2025;001;NULL;2025-02-06 00:00:00.000;NULL;NULL;38;NULL;NULL;NULL;NULL;NULL;;4001;CATASTRO25;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;000
0000067;2025-02-06 00:00:00;H;CATASTRO 25;NULL;NULL;6500,00;6500,00;FA;NULL;2025-03-17 00:00:00;NULL;    ;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;000072;ININ;NULL;NULL;2025;001;NULL;2025-02-06 00:00:00.000;NULL;NULL;38;NULL;NULL;NULL;NULL;NULL;;4001;CATASTRO25;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;000
0000032;2025-02-06 00:00:00;H;CATASTRO 25;NULL;NULL;6500,00;6500,00;FA;NULL;2025-03-17 00:00:00;NULL;    ;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;000073;ININ;NULL;NULL;2025;001;NULL;2025-02-06 00:00:00.000;NULL;NULL;38;NULL;NULL;NULL;NULL;NULL;;4001;CATASTRO25;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;000
0000068;2025-02-06 00:00:00;H;CATASTRO 25;NULL;NULL;6500,00;6500,00;FA;NULL;2025-03-17 00:00:00;NULL;    ;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;000074;ININ;NULL;NULL;2025;001;NULL;2025-02-06 00:00:00.000;NULL;NULL;38;NULL;NULL;NULL;NULL;NULL;;4001;CATASTRO25;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;000
0000069;2025-02-06 00:00:00;H;CATASTRO 25;NULL;NULL;6500,00;6500,00;FA;NULL;2025-03-17 00:00:00;NULL;    ;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;000075;ININ;NULL;NULL;2025;001;NULL;2025-02-06 00:00:00.000;NULL;NULL;38;NULL;NULL;NULL;NULL;NULL;;4001;CATASTRO25;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;009
0000070;2025-02-06 00:00:00;H;CATASTRO 25;NULL;NULL;6500,00;6500,00;FA;NULL;2025-03-17 00:00:00;NULL;    ;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;000076;ININ;NULL;NULL;2025;001;NULL;2025-02-06 00:00:00.000;NULL;NULL;38;NULL;NULL;NULL;NULL;NULL;;4001;CATASTRO25;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;000
0000071;2025-02-06 00:00:00;H;CATASTRO 25;NULL;NULL;6500,00;6500,00;FA;NULL;2025-03-17 00:00:00;NULL;    ;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;000077;ININ;NULL;NULL;2025;001;NULL;2025-02-06 00:00:00.000;NULL;NULL;38;NULL;NULL;NULL;NULL;NULL;;4001;CATASTRO25;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;001
0000072;2025-02-06 00:00:00;H;CATASTRO 25;NULL;NULL;6500,00;6500,00;FA;NULL;2025-03-17 00:00:00;NULL;    ;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;000078;ININ;NULL;NULL;2025;001;NULL;2025-02-06 00:00:00.000;NULL;NULL;38;NULL;NULL;NULL;NULL;NULL;;4001;CATASTRO25;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;002
0000073;2025-02-06 00:00:00;H;CATASTRO 25;NULL;NULL;6500,00;6500,00;FA;NULL;2025-03-17 00:00:00;NULL;    ;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;000079;ININ;NULL;NULL;2025;001;NULL;2025-02-06 00:00:00.000;NULL;NULL;38;NULL;NULL;NULL;NULL;NULL;;4001;CATASTRO25;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;003
0000076;2025-02-06 00:00:00;H;CATASTRO 25;NULL;NULL;6500,00;6500,00;FA;NULL;2025-03-17 00:00:00;NULL;    ;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;000083;ININ;NULL;NULL;2025;001;NULL;2025-02-06 00:00:00.000;NULL;NULL;38;NULL;NULL;NULL;NULL;NULL;;4001;CATASTRO25;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;007
0000077;2025-02-06 00:00:00;H;CATASTRO 25;NULL;NULL;6500,00;6500,00;FA;NULL;2025-03-17 00:00:00;NULL;    ;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;000084;ININ;NULL;NULL;2025;001;NULL;2025-02-06 00:00:00.000;NULL;NULL;38;NULL;NULL;NULL;NULL;NULL;;4001;CATASTRO25;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;008
