IdTrans;IDENTIFICADOR;Codigo;ID_AUTOMOTOR;TIPO_CATEGORIA_AUTOMOTOR;CIP;ANO_VALUACION;MODELO_AUTOMOTOR;NRO_MOTOR;NRO_CHASIS;CERTIFICADO_FABRICACION;NRO_ADUANA;MARCA_VEHICULO;DESCRIPCION_INDIVIDUAL;PESO_CILINDRADA;IMPORTADO;DOMINIO;VIM;TIPO_ALTA;VALOR_FACTURA;CARGA;SUBESCALA;Fecha;BASE_IMP_CALC;BASE_IMP_CALC2;BASE_IMPCALC2;BASE__IMPCALC2;LIQUIDA;ID_AUTOMOTORPGM;FechaAlta;EXENCION;Valuacion2023;Valuacion2024;FechaBaja
24374; ;0000124;000069; ;04704821;2010; ;CJ9BB8605227; ; ; ;FORD ECOSPORT 2.0L XLS 4X2; ;NULL; ;IUA513; ; ;0,00;0,00; ;NULL;15000000,00;NULL;NULL;NULL;S; ;2010-06-30 00:00:00.000; ;0,00;0,00;2001-01-01 00:00:00.000
24375; ;0000124;000070; ;0545601;2018; ;1P52FMH H8131087; ; ; ;CORVEN ENERGY 110 BY CORVEN; ;NULL; ;A078AVY; ; ;0,00;0,00; ;NULL;15000000,00;NULL;NULL;NULL;N; ;2018-05-14 00:00:00.000; ;0,00;0,00;2022-05-27 00:00:00.000
24376; ;0000100;000071; ;049AC07;2019; ;YS23A260C038935; ; ; ;NISSAN FRONTIER CD XE 2.3 D 4X4 MT; ;NULL; ;AD777EM; ; ;0,00;0,00; ;NULL;15000000,00;NULL;NULL;NULL;S; ;2019-07-26 00:00:00.000; ;0,00;0,00;2001-01-01 00:00:00.000
24377; ;0000125;000072; ;276753;2009; ;IVECO 099197; ; ; ; ; ;NULL; ;IIR227; ; ;0,00;0,00; ;NULL;15000000,00;NULL;NULL;NULL;S; ;2009-10-09 00:00:00.000; ;0,00;0,00;2001-01-01 00:00:00.000
24378; ;0000126;000073; ;04402177;1995; ;146B20001605564; ; ; ; ; ;NULL; ;AGQ219; ; ;0,00;0,00; ;NULL;15000000,00;NULL;NULL;NULL;S; ;1995-05-15 00:00:00.000; ;0,00;0,00;2001-01-01 00:00:00.000
24379; ;0000129;000076; ;0424520;2007; ;1P52FMH06102342; ; ; ;GUERRERO G100 TRIP; ;NULL; ;938CTP; ; ;0,00;0,00; ;NULL;15000000,00;NULL;NULL;NULL;S; ;2007-02-28 00:00:00.000; ;0,00;0,00;2001-01-01 00:00:00.000
24380; ;0000082;000078; ;11205923;2013; ;K7MF710Q138280; ; ; ;RENAULT SANDERO AUTHENTIQUE ABCP+ABS; ;NULL; ;MUL095; ; ;0,00;0,00; ;NULL;15000000,00;NULL;NULL;NULL;S; ;2013-07-11 00:00:00.000; ;0,00;0,00;2001-01-01 00:00:00.000
24381; ;0000104;000080; ;11204A15;2016; ;K4M2842Q067481; ; ; ;RENAULT DUSTER PH2 PRIVILEGE 1.6; ;NULL; ;AA462KC; ; ;0,00;0,00; ;NULL;15000000,00;NULL;NULL;NULL;S; ;2020-02-26 00:00:00.000; ;0,00;0,00;2001-01-01 00:00:00.000
24382; ;0000102;000081; ;0306833;2012; ;1KD-5640734; ; ; ;TOYOTA HILUX SW4 4X4 SRV 3.0 TDI C/CUERO; ;NULL; ;LGO861; ; ;0,00;0,00; ;NULL;15000000,00;NULL;NULL;NULL;S; ;2020-02-26 00:00:00.000; ;0,00;0,00;2001-01-01 00:00:00.000
24383; ;0000076;000082; ;04119RV;2008; ;8J154441; ; ; ;FORD FOCUS AMBIENTE 4P 1.6L N; ;NULL; ;HAV624; ; ;0,00;0,00; ;NULL;15000000,00;NULL;NULL;NULL;S; ;2020-05-15 00:00:00.000; ;0,00;0,00;2001-01-01 00:00:00.000
